Time	Species	State	Cell	Experiment	Dish	Plate	Well	Date
09082016_Gel12_EXP44_DAB_tube18	48	Human	DAB	B	44	18	12	3	20160628
09082016_Gel12_EXP44_PON_tube17	48	Human	PON	B	44	17	12	4	20160628
093016_Gel_13_TOF_Exp46_Tube9	48	Human	TOF	B	46	9	13	5	20160628
093016_Gel_13_CTRL_Exp46_Tube1	48	Human	CTRL	B	46	1	13	1	20160628
093016_Gel_13_DAS_Exp46_Tube3	48	Human	DAS	B	46	3	13	2	20160628
093016_Gel_13_NIL_Exp46_Tube10	48	Human	NIL	B	46	10	13	3	20160628
093016_Gel_13_PAZ_Exp46_Tube12	48	Human	PAZ	B	46	12	13	4	20160628
093016_Gel_14_AFA_Exp46_Tube14_161004062123	48	Human	AFA	B	46	14	14	2	20160628
093016_Gel_14_AXI_Exp46_Tube11	48	Human	AXI	B	46	11	14	1	20160628
093016_Gel_14_REG_Exp46_Tube15	48	Human	REG	B	46	15	14	3	20160628
093016_Gel_14_RUX_Exp46_Tube13	48	Human	RUX	B	46	13	14	4	20160628
091216_Gel15_TRA_Exp46_Tube_20	48	Human	TRA	B	46	20	15	5	20160628
091216_Gel15_CAB_Exp46_Tube_19	48	Human	CAB	B	46	19	15	2	20160628
091216_Gel15_CTRL_Exp46_Tube_1	48	Human	CTRL	B	46	1	15	1	20160628
091216_Gel15_DAB_Exp46_Tube_17	48	Human	DAB	B	46	17	15	3	20160628
091216_Gel15_PON_Exp46_Tube_16	48	Human	PON	B	46	16	15	4	20160628
091216_Gel16_AXI_Exp50_Tube_7	48	Human	AXI	B	50	7	16	2	20160628
091216_Gel16_CTRL_Exp50_Tube_1	48	Human	CTRL	B	50	1	16	1	20160628
091216_Gel16_DAS_Exp50_Tube_3	48	Human	DAS	B	50	3	16	3	20160628
091216_Gel16_NIL_Exp50_Tube_6	48	Human	NIL	B	50	6	16	4	20160628
091216_Gel16_PAZ_Exp50_Tube_8	48	Human	PAZ	B	50	8	16	5	20160628
091216_Gel17_AFA_Exp50_Tube_10	48	Human	AFA	B	50	10	17	2	20160628
091216_Gel17_CTRL_Exp50_Tube_1	48	Human	CTRL	B	50	1	17	1	20160628
091216_Gel17_PON_Exp50_Tube_12	48	Human	PON	B	50	12	17	3	20160628
091216_Gel17_REG_Exp50_Tube_11	48	Human	REG	B	50	11	17	4	20160628
091216_Gel17_RUX_Exp50_Tube_9	48	Human	RUX	B	50	9	17	5	20160628
09232016_Gel18_EXP50_CAB_tube15	48	Human	CAB	B	50	15	18	1	20160628
09232016_Gel18_EXP50_CTRl_tube2	48	Human	CTRL	B	50	2	18	1	20160628
09232016_Gel18_EXP50_SUN_tube18	48	Human	SUN	B	50	18	18	3	20160628
09232016_Gel18_EXP50_TRA_tube16	48	Human	TRA	B	50	16	18	4	20160628
09192016_Gel19_EXP51_CTRL_tube1	48	Human	CTRL	B	51	1	19	1	20160628
09192016_Gel19_EXP51_CTRL_tube2	48	Human	CTRL	B	51	2	19	2	20160628
09192016_Gel19_EXP51_DAB_tube22	48	Human	DAB	B	51	22	19	3	20160628
09192016_Gel19_EXP51_PRE_tube18	48	Human	PRE	B	51	18	19	4	20160628
09192016_Gel19_EXP51_SUN_tube9	48	Human	SUN	B	51	9	19	5	20160628
071116_Gel20_CTRL_Exp53_tube_2	48	Human	CTRL	B	53	2	20	1	20160628
071116_Gel20_EST_Exp53_tube_16	48	Human	EST	B	53	16	20	2	20160628
